Plus Char List:
index	nodes
0	10
1	9,101
2	8,83,102
3	7,67,84,103
4	6,53,68,85,104
5	5,41,54,69,86,105
6	4,31,42,55,70,87,106
7	3,23,32,43,56,71,88,107
8	2,17,24,33,44,57,72,89,108
9	1,13,18,25,34,45,58,73,90,109
10	0,11,14,19,26,35,46,59,74,91,110
11	12,15,20,27,36,47,60,75,92,111
12	16,21,28,37,48,61,76,93,112
13	22,29,38,49,62,77,94,113
14	30,39,50,63,78,95,114
15	40,51,64,79,96,115
16	52,65,80,97,116
17	66,81,98,117
18	82,99,118
19	100,119
20	120
Minus Char List:
index	nodes
0	0
1	1,11,12
2	2,13,14,15,16
3	3,17,18,19,20,21,22
4	4,23,24,25,26,27,28,29,30
5	5,31,32,33,34,35,36,37,38,39,40
6	6,41,42,43,44,45,46,47,48,49,50,51,52
7	7,53,54,55,56,57,58,59,60,61,62,63,64,65,66
8	8,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
9	9,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10	10,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
