Node list:
index	r	z	plus	minus	m	th
0	0.0000	0.0000	10	0	2.0000	0.0000
1	1.0000	0.0000	9	1	2.0000	0.0000
2	2.0000	0.0000	8	2	2.0000	0.0000
3	3.0000	0.0000	7	3	2.0000	0.0000
4	4.0000	0.0000	6	4	2.0000	0.0000
5	5.0000	0.0000	5	5	2.0000	0.0000
6	6.0000	0.0000	4	6	2.0000	0.0000
7	7.0000	0.0000	3	7	2.0000	0.0000
8	8.0000	0.0000	2	8	2.0000	0.0000
9	9.0000	0.0000	1	9	2.0000	0.0000
10	10.0000	0.0000	0	10	2.0000	0.0000
11	0.5000	0.8660	10	1	2.0000	0.0000
12	0.0000	1.7321	11	1	2.0000	0.0000
13	1.5000	0.8660	9	2	2.0000	0.0000
14	1.0000	1.7321	10	2	2.0000	0.0000
15	0.5000	2.5981	11	2	2.0000	0.0000
16	0.0000	3.4641	12	2	2.0000	0.0000
17	2.5000	0.8660	8	3	2.0000	0.0000
18	2.0000	1.7321	9	3	2.0000	0.0000
19	1.5000	2.5981	10	3	2.0000	0.0000
20	1.0000	3.4641	11	3	2.0000	0.0000
21	0.5000	4.3301	12	3	2.0000	0.0000
22	0.0000	5.1962	13	3	2.0000	0.0000
23	3.5000	0.8660	7	4	2.0000	0.0000
24	3.0000	1.7321	8	4	2.0000	0.0000
25	2.5000	2.5981	9	4	2.0000	0.0000
26	2.0000	3.4641	10	4	2.0000	0.0000
27	1.5000	4.3301	11	4	2.0000	0.0000
28	1.0000	5.1962	12	4	2.0000	0.0000
29	0.5000	6.0622	13	4	2.0000	0.0000
30	0.0000	6.9282	14	4	2.0000	0.0000
31	4.5000	0.8660	6	5	2.0000	0.0000
32	4.0000	1.7321	7	5	2.0000	0.0000
33	3.5000	2.5981	8	5	2.0000	0.0000
34	3.0000	3.4641	9	5	2.0000	0.0000
35	2.5000	4.3301	10	5	2.0000	0.0000
36	2.0000	5.1962	11	5	2.0000	0.0000
37	1.5000	6.0622	12	5	2.0000	0.0000
38	1.0000	6.9282	13	5	2.0000	0.0000
39	0.5000	7.7942	14	5	2.0000	0.0000
40	0.0000	8.6603	15	5	2.0000	0.0000
41	5.5000	0.8660	5	6	2.0000	0.0000
42	5.0000	1.7321	6	6	2.0000	0.0000
43	4.5000	2.5981	7	6	2.0000	0.0000
44	4.0000	3.4641	8	6	2.0000	0.0000
45	3.5000	4.3301	9	6	2.0000	0.0000
46	3.0000	5.1962	10	6	2.0000	0.0000
47	2.5000	6.0622	11	6	2.0000	0.0000
48	2.0000	6.9282	12	6	2.0000	0.0000
49	1.5000	7.7942	13	6	2.0000	0.0000
50	1.0000	8.6603	14	6	2.0000	0.0000
51	0.5000	9.5263	15	6	2.0000	0.0000
52	0.0000	10.3923	16	6	2.0000	0.0000
53	6.5000	0.8660	4	7	2.0000	0.0000
54	6.0000	1.7321	5	7	2.0000	0.0000
55	5.5000	2.5981	6	7	2.0000	0.0000
56	5.0000	3.4641	7	7	2.0000	0.0000
57	4.5000	4.3301	8	7	2.0000	0.0000
58	4.0000	5.1962	9	7	2.0000	0.0000
59	3.5000	6.0622	10	7	2.0000	0.0000
60	3.0000	6.9282	11	7	2.0000	0.0000
61	2.5000	7.7942	12	7	2.0000	0.0000
62	2.0000	8.6603	13	7	2.0000	0.0000
63	1.5000	9.5263	14	7	2.0000	0.0000
64	1.0000	10.3923	15	7	2.0000	0.0000
65	0.5000	11.2583	16	7	2.0000	0.0000
66	0.0000	12.1244	17	7	2.0000	0.0000
67	7.5000	0.8660	3	8	2.0000	0.0000
68	7.0000	1.7321	4	8	2.0000	0.0000
69	6.5000	2.5981	5	8	2.0000	0.0000
70	6.0000	3.4641	6	8	2.0000	0.0000
71	5.5000	4.3301	7	8	2.0000	0.0000
72	5.0000	5.1962	8	8	2.0000	0.0000
73	4.5000	6.0622	9	8	2.0000	0.0000
74	4.0000	6.9282	10	8	2.0000	0.0000
75	3.5000	7.7942	11	8	2.0000	0.0000
76	3.0000	8.6603	12	8	2.0000	0.0000
77	2.5000	9.5263	13	8	2.0000	0.0000
78	2.0000	10.3923	14	8	2.0000	0.0000
79	1.5000	11.2583	15	8	2.0000	0.0000
80	1.0000	12.1244	16	8	2.0000	0.0000
81	0.5000	12.9904	17	8	2.0000	0.0000
82	0.0000	13.8564	18	8	2.0000	0.0000
83	8.5000	0.8660	2	9	2.0000	0.0000
84	8.0000	1.7321	3	9	2.0000	0.0000
85	7.5000	2.5981	4	9	2.0000	0.0000
86	7.0000	3.4641	5	9	2.0000	0.0000
87	6.5000	4.3301	6	9	2.0000	0.0000
88	6.0000	5.1962	7	9	2.0000	0.0000
89	5.5000	6.0622	8	9	2.0000	0.0000
90	5.0000	6.9282	9	9	2.0000	0.0000
91	4.5000	7.7942	10	9	2.0000	0.0000
92	4.0000	8.6603	11	9	2.0000	0.0000
93	3.5000	9.5263	12	9	2.0000	0.0000
94	3.0000	10.3923	13	9	2.0000	0.0000
95	2.5000	11.2583	14	9	2.0000	0.0000
96	2.0000	12.1244	15	9	2.0000	0.0000
97	1.5000	12.9904	16	9	2.0000	0.0000
98	1.0000	13.8564	17	9	2.0000	0.0000
99	0.5000	14.7224	18	9	2.0000	0.0000
100	0.0000	15.5885	19	9	2.0000	0.0000
101	9.5000	0.8660	1	10	2.0000	0.0000
102	9.0000	1.7321	2	10	2.0000	0.0000
103	8.5000	2.5981	3	10	2.0000	0.0000
104	8.0000	3.4641	4	10	2.0000	0.0000
105	7.5000	4.3301	5	10	2.0000	0.0000
106	7.0000	5.1962	6	10	2.0000	0.0000
107	6.5000	6.0622	7	10	2.0000	0.0000
108	6.0000	6.9282	8	10	2.0000	0.0000
109	5.5000	7.7942	9	10	2.0000	0.0000
110	5.0000	8.6603	10	10	2.0000	0.0000
111	4.5000	9.5263	11	10	2.0000	0.0000
112	4.0000	10.3923	12	10	2.0000	0.0000
113	3.5000	11.2583	13	10	2.0000	0.0000
114	3.0000	12.1244	14	10	2.0000	0.0000
115	2.5000	12.9904	15	10	2.0000	0.0000
116	2.0000	13.8564	16	10	2.0000	0.0000
